ID,Sex,Age (years),Complete,Date,Video1,,,,,,Video2,,,,,,Video3,,,,,,Video4,,,,,,Video5,,,,,,Video6,,,,,,Fatigue (after experiment),Order of videos,,,,,
,,,,,neutral,fear,sad,happy,anger,disgust,neutral,fear,sad,happy,anger,disgust,neutral,fear,sad,happy,anger,disgust,neutral,fear,sad,happy,anger,disgust,neutral,fear,sad,happy,anger,disgust,neutral,fear,sad,happy,anger,disgust,,,,,,,
065,Female,24,Finished,2018/6/13 19:00,7,1,1,1,1,1,1,1,1,4,1,1,1,7,1,1,1,4,6,1,2,1,1,1,1,2,1,1,1,7,1,1,1,1,2,6,2,neutral,happy,fear,sad,disgust,anger
066,Male,27,Finished,2018/6/14 9:00,6,1,1,3,1,1,2,4,1,1,1,4,3,1,1,4,1,1,1,7,1,1,1,1,2,1,5,1,1,1,1,1,1,1,7,6,2,neutral,disgust,happy,fear,sad,anger
067,Male,26,Finished,2018/6/14 19:00,1,1,1,5,1,1,1,1,2,1,1,6,4,1,1,2,1,1,2,4,1,1,1,1,2,1,3,1,2,2,3,1,3,1,1,1,2,happy,disgust,neutral,fear,anger,sad
068,Female,23,Finished,2018/6/19 9:00,7,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,7,1,1,7,1,1,1,1,1,1,7,1,1,1,1,6,1,1,1,3,3,neutral,happy,anger,fear,sad,disgust
069,Male,21,Finished,2018/6/19 14:00,1,2,1,1,1,6,1,7,1,1,1,1,3,1,1,4,1,1,5,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,6,3,disgust,fear,happy,sad,neutral,anger
070,Female,21,Finished,2018/6/20 19:00,5,1,1,2,1,1,1,6,1,1,1,1,1,5,1,1,7,6,1,1,4,1,1,1,7,1,1,2,1,1,1,7,2,1,1,7,3,happy,fear,anger,sad,neutral,disgust
071,Female,23,Finished,2018/6/21 9:00,1,1,1,3,1,1,1,1,6,1,1,1,1,5,1,1,5,4,1,6,1,1,1,1,1,5,1,1,1,5,7,1,1,1,1,1,3,happy,sad,anger,fear,disgust,neutral
072,Female,23,Finished,2018/6/21 18:00,1,1,1,3,1,1,1,7,1,1,1,1,1,1,5,1,1,1,6,1,1,1,1,1,1,2,1,1,1,7,1,4,1,1,5,1,3,happy,fear,sad,neutral,disgust,anger
073,Male,22,Finished,2018/6/22 13:00,1,5,1,1,1,6,1,1,5,1,6,1,2,1,1,1,1,1,1,1,4,1,1,1,1,1,1,4,1,1,1,7,1,1,1,1,4,disgust,anger,neutral,sad,happy,fear
074,Male,18,Finished,2018/6/22 18:00,7,1,1,2,1,1,2,1,5,1,4,4,2,1,1,6,1,1,1,1,2,1,3,6,1,1,5,2,2,2,2,4,1,1,1,1,3,neutral,anger,happy,disgust,sad,fear
075,Male,21,Finished,2018/6/23 15:00,2,1,5,1,1,1,1,3,3,1,2,7,1,1,1,1,6,2,7,1,1,1,1,1,1,6,1,1,1,1,1,1,1,6,1,1,5,sad,disgust,anger,neutral,fear,happy
076,Female,20,Finished,2018/6/25 14:00,2,1,1,5,1,1,3,1,1,1,1,2,1,1,1,1,3,1,1,4,1,1,6,7,1,1,1,2,1,1,1,1,1,1,3,3,3,happy,sad,disgust,fear,neutral,anger
077,Male,24,Finished,2018/6/25 18:00,1,7,5,1,1,3,1,1,6,1,6,6,1,1,1,7,1,1,1,1,5,1,1,7,7,1,1,1,1,1,1,1,1,1,1,7,2,fear,anger,happy,sad,neutral,disgust
078,Female,23,Finished,2018/6/26 9:00,7,1,1,1,1,1,1,1,1,1,1,7,1,6,1,1,4,1,1,1,5,1,1,1,1,1,1,5,1,2,1,3,1,1,1,1,2,neutral,disgust,anger,sad,happy,fear
079,Female,21,Finished,2018/6/26 19:00,1,1,2,1,2,6,7,1,1,1,1,1,1,1,1,1,1,7,1,1,7,1,1,1,1,6,1,1,1,1,1,1,1,4,1,2,3,anger,neutral,disgust,sad,fear,happy
080,Female,24,Finished,2018/6/27 14:00,1,1,7,1,1,1,1,7,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,7,1,1,1,3,1,1,1,1,1,1,5,1,2,sad,fear,neutral,disgust,happy,anger
081,Male,20,Finished,2018/6/28 14:00,1,2,2,1,1,6,1,1,7,1,1,1,7,1,1,1,1,1,1,1,1,1,6,2,3,1,1,5,1,1,3,4,1,1,1,1,3,disgust,sad,neutral,anger,happy,fear
082,Female,21,Finished,2018/6/29 16:00,1,1,1,7,1,1,7,1,1,5,1,1,5,1,7,7,1,1,1,5,1,1,1,7,1,7,1,1,1,1,1,7,1,1,7,7,2,happy,neutral,sad,disgust,fear,anger
083,Female,20,Finished,2018/6/29 9:00,1,6,1,1,1,7,1,1,5,1,1,1,1,5,1,1,1,1,5,1,1,4,1,1,1,7,1,1,5,1,1,1,1,6,1,1,4,disgust,anger,fear,neutral,sad,happy
084,Male,19,Finished,2018/6/29 14:00,1,1,3,1,1,4,2,3,1,1,3,1,2,5,1,1,1,1,6,1,1,1,1,1,5,1,2,1,1,1,1,1,1,6,1,1,4,disgust,sad,fear,neutral,anger,happy
085,Male,23,Finished,2018/7/2 9:00,7,1,1,1,1,1,4,1,3,1,1,1,4,1,1,3,1,1,4,3,1,1,1,1,1,1,1,1,1,6,4,1,1,1,4,1,2,neutral,sad,happy,fear,disgust,anger
086,Male,22,Finished,2018/7/2 20:00,1,2,4,1,6,1,1,1,4,1,1,1,4,1,1,3,1,1,1,5,1,1,1,2,1,1,1,5,1,1,1,1,1,1,1,3,5,anger,sad,neutral,fear,happy,disgust
087,Female,22,Finished,2018/7/3 9:00,2,1,7,1,1,1,1,2,7,1,6,5,1,7,4,1,2,5,1,6,2,1,1,1,2,1,1,3,1,1,4,1,1,6,1,2,3,sad,anger,disgust,fear,neutral,happy
088,Female,21,Finished,2018/7/4 9:00,1,1,2,1,4,3,1,1,4,1,1,1,1,2,3,1,6,3,1,1,1,3,1,1,1,3,1,1,1,1,4,1,1,1,1,1,1,disgust,sad,anger,happy,fear,neutral
089,Female,24,Finished,2018/7/4 18:00,2,1,1,4,1,1,6,1,1,1,1,1,1,1,2,1,2,3,4,1,1,1,1,3,4,2,1,1,1,1,2,1,4,1,1,1,3,happy,neutral,anger,disgust,fear,sad
